"id" "rt" "err" "stim" "type" "img" "word" "order"
"112" "6101" 6.44413125670044 0 "BRAND" "word" NA NA -0.127896475054513
"113" "6101" 6.30261897574491 0 "KISS" "word" NA NA -0.113685755604012
"114" "6101" 6.71780469502369 0 "WOOND" "pseudohomophone" NA "less" -0.0994750361535102
"115" "6101" 6.35262939631957 0 "JOYNT" "pseudohomophone" NA "less" -0.0852643167030088
"116" "6101" 6.37842618365159 0 "OBEY" "word" NA NA -0.0710535972525073
"117" "6101" 6.4150969591716 0 "NACE" "nonword" NA "more" -0.0568428778020059
"118" "6101" 6.66568371778241 0 "CHACE" "pseudohomophone" NA "more" -0.0426321583515044
"119" "6101" 6.25190388316589 0 "DYVE" "pseudohomophone" NA "less" -0.0284214389010029
"120" "6101" 6.35610766069589 0 "MENU" "word" NA NA -0.0142107194505015
"121" "6101" 6.5206211275587 0 "FUR" "word" "high" NA 0.0142107194505015
"122" "6101" 6.38519439899773 0 "JOOCE" "pseudohomophone" NA "less" 0.0284214389010029
"123" "6101" 6.31173480915291 0 "NANDE" "nonword" NA "less" 0.0426321583515044
"124" "6101" 6.30991827822652 0 "BUG" "word" "high" NA 0.0568428778020059
"125" "6101" 6.4707995037826 0 "ALE" "word" "low" NA 0.0710535972525073
"126" "6101" 6.19440539110467 0 "THAYZE" "nonword" NA "less" 0.0852643167030088
"127" "6101" 6.50578406012823 0 "BELT" "word" "high" NA 0.0994750361535102
"128" "6101" 6.36990098282823 0 "MUCK" "word" "low" NA 0.113685755604012
"129" "6101" 6.35262939631957 0 "SMOAK" "pseudohomophone" NA "more" 0.127896475054513
"130" "6101" 6.21860011969173 0 "PRYZE" "pseudohomophone" NA "less" 0.142107194505015
"131" "6101" 6.30991827822652 0 "SHURT" "pseudohomophone" NA "more" 0.156317913955516
"132" "6101" 6.44571981938558 0 "PAIK" "nonword" NA "less" 0.170528633406018
"133" "6101" 6.01859321449623 0 "TOOCE" "nonword" NA "less" 0.184739352856519
